"YEAR","CASEID","METRO","FAMINCOME","HH_SIZE","HHTENURE","HH_CHILD","HOUSETYPE","HH_NUMKIDS","HH_NUMADULTS","PERNUM","LINENO","WT20","AGE","SEX","RACE","MARST","EDUCYRS","MULTJOBS","FULLPART","UHRSWORKT","EARNWEEK","SPOUSEPRES","KIDUND18","KIDUND1","COVIDTELEW","ACT_HHACT"
2020,20200706200645,3,15,2,1,0,1,0,2,1,1,6966138.291323,63,2,100,1,316,0,1,50,99999.99,1,0,0,99,15
2020,20200706200646,2,16,1,1,0,1,0,1,1,1,7418897.428963,57,2,100,4,214,99,99,9999,99999.99,3,0,0,99,250
2020,20200706200651,2,15,4,1,1,1,1,3,1,1,5057944.91258,51,1,110,1,213,0,1,40,1200.0,1,0,0,99,360
2020,20200706200656,3,8,1,1,0,1,0,1,1,1,3150437.82028,69,2,100,3,112,0,2,9995,347.5,3,0,0,99,0
2020,20200706200657,2,16,4,1,1,1,2,2,1,1,8303210.904397,39,1,100,1,320,1,1,80,1923.07,1,1,0,99,0
2020,20200706200659,1,10,5,1,1,1,2,3,1,1,3046464.729661,43,2,100,6,214,0,2,20,99999.99,3,1,0,99,170
2020,20200706200666,2,12,3,1,1,1,1,2,1,1,4089014.377843,28,2,131,1,112,99,99,9999,99999.99,1,1,0,99,674
2020,20200706200667,3,12,4,1,1,1,2,2,1,1,2412243.648719,37,2,100,1,217,99,99,9999,99999.99,1,1,0,99,60
2020,20200706200673,2,15,4,1,1,1,1,3,1,1,5703616.848031,53,2,100,1,217,0,2,15,217.8,1,1,0,99,460
2020,20200706200679,3,10,3,1,1,1,1,2,1,1,1.40696215802E7,45,2,100,1,214,99,99,9999,99999.99,1,1,0,99,255
2020,20200706200680,3,16,2,1,0,1,0,2,1,1,5292423.039071,76,1,110,1,112,99,99,9999,99999.99,1,0,0,99,30
2020,20200706200681,3,9,1,1,0,1,0,1,1,1,3243536.863726,70,2,100,3,214,99,99,9999,99999.99,3,0,0,99,222
2020,20200706200683,2,11,4,1,1,1,2,2,1,1,9143742.962931,66,1,110,1,217,99,99,9999,99999.99,1,1,0,99,90
2020,20200706200684,1,14,2,1,0,1,0,2,1,1,4719481.77161,71,1,100,1,217,0,2,6,99999.99,1,0,0,99,60
